21322826,5140
21345679,3991
21322626,3965
21302019,3866
21362175,3608
21322825,3172
21307032,2996
21394166,2988
21361696,2744
21345680,2676
21309892,2564
21300091,2513
21309896,2503
21300110,2469
21300095,2429
21313888,2394
21361728,2327
17990718,2307
21301598,2258
21322631,2254
21300120,2196
21313901,2195
21300093,2160
20526376,2117
21300126,2086
21301328,2071
21307269,2044
21195779,1993
21366725,1985
21300131,1939
21300092,1844
21304394,1838
21192986,1811
21124058,1762
21300115,1750
21300111,1749
21313892,1743
21315235,1740
21304400,1710
21309891,1700
21300137,1696
21300125,1685
21300142,1675
21322613,1645
21309897,1635
21072949,1625
21195778,1610
21322641,1607
21270243,1599
21309890,1598
21361699,1590
21300121,1587
21158645,1576
21302003,1575
21173867,1569
21158642,1548
21133126,1540
21300118,1525
21300098,1521
21322622,1518
21309895,1507
21198364,1504
21300096,1482
20728940,1460
21198365,1459
21300127,1450
21361715,1430
21304331,1429
21166906,1424
21198360,1394
21300089,1387
21361694,1372
19471460,1364
21300122,1348
21184477,1318
21164952,1300
20295641,1291
21212735,1290
21309893,1278
21306327,1271
21261909,1255
21347983,1242
21307268,1237
21301995,1228
21304312,1227
21352934,1225
21300090,1220
21322610,1218
20934624,1200
21300140,1187
21302011,1165
21286766,1149
21053004,1142
21304389,1134
21275532,1126
21395353,1116
18590672,1099
21345681,1097
21352923,1088
21148191,1082
21211052,1082
21075798,1075
21286754,1075
21198363,1074
21138654,1072
21136780,1071
21300123,1066
21164250,1061
21158641,1060
21158677,1057
21302005,1057
19819229,1055
21166907,1045
21317328,1045
21148177,1042
21361716,1034
21302007,1018
21362679,1013
21198410,1012
21304404,1012
21322618,1012
21083028,1007
21313893,996
17394052,994
21352924,988
21136786,987
21374720,980
21307267,978
21300117,973
21195784,972
21300132,971
21313895,964
21300055,960
21362675,944
21102414,942
21286844,940
21300136,934
21322629,931
21286760,929
21300114,927
21136784,926
21300084,912
21117642,907
21082816,904
17394316,903
21322621,894
21307270,883
21164954,881
21173868,878
21300113,878
20320269,876
20945303,876
21135870,875
21352920,875
21300116,873
20776624,870
21364251,865
21124060,859
20750376,858
21174331,857
21304306,854
17838819,852
20626908,850
21300141,849
21356440,846
21102407,843
21173865,841
21120928,836
21198361,833
18136810,829
19022827,825
21361719,823
19544056,816
21095803,815
21302018,811
21352942,808
21083026,804
20820080,803
19942743,800
20284480,800
21300138,800
21316350,798
21395351,798
19712994,794
21304360,792
21211028,791
21300130,791
21300087,788
21347985,783
19115767,780
21172340,777
21300099,772
21123601,770
21286734,770
21173870,767
21198366,765
20914269,764
20907650,755
21120925,754
21304410,751
21300133,748
21286758,747
18589049,746
21300112,739
21255063,737
21353199,736
21198359,732
21304412,732
21300097,730
21300086,724
18142696,719
21183992,719
15931120,718
21286732,717
21172371,716
21317330,716
21124056,709
19721109,700
21300135,697
21009402,694
18357724,689
21270242,687
19965325,684
21322844,684
18708792,683
20825069,682
17194202,679
21352929,677
20211568,675
21319655,675
21270458,674
21164953,672
17179994,671
21286826,671
21006644,669
21322646,668
